author,authorLabel,placeOfDeath,placeOfDeathLabel,residence,residenceLabel,work,workLabel,publicationPlace,publicationPlaceLabel,language,languageLabel
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q12345731,Bluebeard's Egg,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q6987436,Negotiating with the Dead,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q16209753,Moral Disorder,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q16210105,Power Politics,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q7156692,Payback: Debt and the Shadow Side of Wealth,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q6912926,Morning in the Burned House,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q7247162,Procedures for Underground,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q7730678,The Door,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q8038547,"Writing with Intent: Essays, Reviews, Personal Prose--1983-2005",,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q7847527,True Stories,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q7575409,Speeches for Doctor Frankenstein,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q7647162,Survival: A Thematic Guide to Canadian Literature,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q7730678,The Door,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q7745059,The Labrador Fiasco,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q21065489,The Heart Goes Last,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q7743645,The Journals of Susanna Moodie,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q7847527,True Stories,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q7858666,Two-Headed Poems,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q7884145,Unearthing Suite,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q16204596,MaddAddam,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q6937764,Murder in the Dark,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q7713834,The Animals in That Country,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q5652676,Happy Endings,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q6937764,Murder in the Dark,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q953088,Essex County,http://www.wikidata.org/entity/Q7713834,The Animals in That Country,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q16209753,Moral Disorder,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q16210105,Power Politics,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q7156692,Payback: Debt and the Shadow Side of Wealth,,,http://www.wikidata.org/entity/Q1860,en
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q7723073,The Circle Game,,,,
http://www.wikidata.org/entity/Q183492,Margaret Atwood,,,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q8001165,Wilderness Tips,,,http://www.wikidata.org/entity/Q1860,en
